country,system_type
Mozambique,"Universal (medical benefits), social insurance (cash benefits), and social assistance (medical benefits) system"
Myanmar,Social insurance system
Namibia,Social insurance and employer-liability system
Nepal,"Universal (medical benefits), provident fund (birth grant and medical benefits), and employer-liability (cash and medical benefits)"
Netherlands,Social insurance system
New Zealand,Universal and social assistance system
Nicaragua,Social insurance (cash and medical benefits) and social assistance (medical benefits) system
Niger,"Universal (medical benefits), social insurance (cash maternity and medical benefits), and employer-liability (cash sickness benefits) system"
Nigeria,Social insurance system
North Macedonia,"Mandatory private pension scheme, Voluntary pension scheme, Open pension funds"
Norway,Universal and social insurance system
Oman,Universal (medical benefits) and employer-liability (cash benefits) system
Pakistan,Social insurance system
Palau,Social insurance and mandatory individual account system (medical benefits only)
Panama,Social insurance system
Papua New Guinea,Employer-liability system. Cash sickness benefits only
Paraguay,Social insurance (cash and medical benefits) and social assistance (medical benefits) system
Peru,"Social insurance (cash and medical benefits), mandatory private insurance (medical benefits), and social assistance (medical benefits and funeral grant) system"
Philippines,Social insurance system
Poland,Social insurance system
Portugal,"Universal (medical benefits), social insurance (cash benefits), and social assistance (cash benefits) system"
Qatar,Universal (medical benefits) and employer-liability (cash benefits) system
Romania,Social insurance (cash and medical benefits) and social assistance (medical benefits only) system
Russian Federation,Social insurance system
Rwanda,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness and maternity benefits) system
Saint Lucia,Social insurance system
Saint Vincent and the Grenadines,Universal (medical benefits) and social insurance (cash benefits) system
Samoa,Employer-liability (cash benefits only) system
San Marino,Universal (medical benefits) and social insurance (cash benefits) system
Sao Tome and Principe,Social insurance system
Saudi Arabia,Universal (medical benefits) and employer-liability (cash benefits) system
Senegal,"Social insurance (cash maternity and maternity medical benefits), voluntary community-based social insurance (medical benefits), and social assistance (medical benefits) system"
Serbia,Social insurance system
Seychelles,Universal and employer-liability system
Sierra Leone,Employer-liability system through private carriers
Singapore,"Social insurance (medical benefits), provident fund (medical benefits), employer-liability (cash sickness and maternity benefits), employment-related (cash maternity benefit), and social assistance (medical benefits) system"
Slovenia,Social insurance system
Solomon Islands,Universal (medical benefits) and employer-liability (cash benefits) system
South Africa,"Universal (medical benefits), social insurance (cash benefits), employer-liability (cash sickness benefits), and social assistance (medical benefits) system"
South Korea,"Social insurance and social assistance system. Maternity, medical, and long-term care benefits only"
Spain,Social insurance system
Sri Lanka,Universal (medical benefits) and employer-liability (cash benefits) system
Sudan,Social insurance (medical benefits) and employer-liability (cash benefits) system
Suriname, Mandatory health insurance through private carriers (medical benefits) and employer-liability (cash sickness benefits) system
Sweden,Universal (parental and medical benefits) and social insurance (cash benefits) system
Switzerland,"Social insurance (cash maternity benefits and medical benefits), and employer-liability (cash sickness benefits) system"
Syrian Arab Republic,Universal (medical benefits) and employer-liability (cash benefits) system
Tajikistan,Universal (medical benefits) and social insurance (cash benefits) system
Tanzania,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness and paternity benefits) system
Thailand,Universal and social insurance system
Togo,"Universal (medical benefits), social insurance (cash maternity benefit), and employer-liability (cash sickness and medical benefits)  system"
Trinidad and Tobago,"Universal (medical benefits), social insurance, and employer-liability system"
Tunisia,Social insurance (cash and medical benefits) and social assistance (medical benefits) system
Türkiye,Social insurance system (cash benefits) and universal (medical benefits)
Turkmenistan,Universal (medical benefits) and social insurance (cash benefits) system
Uganda,Employer-liability system
Ukraine,"Universal (medical benefits), social insurance (cash benefits), and social assistance (parental leave) system"
United Kingdom,"Universal (medical benefits), social insurance, and social assistance (cash benefits) system"
United States of America,"Social insurance, mandatory private insurance, and social assistance system. Medical benefits only"
Uruguay,"Social insurance (cash sickness and medical benefits), employment-related (parental benefits), employer-liability (paternity benefit), and social assistance (medical benefits) system"
Uzbekistan,Universal (medical benefits) and social insurance (cash benefits) system
Vanuatu,Employer-liability system
Vietnam,Social insurance system
Yemen,Universal (medical benefits) and employer-liability (cash benefits) system
Zambia,Universal (medical benefits) and employer-liability (cash benefits) system
Zimbabwe,Employer-liability system. Cash sickness and maternity benefits only
