country,system_type,profile_data_date,gdp
Eswatini,Employer-liability system. Cash sickness and maternity benefits only,January 2019,4941373182.08
Ethiopia,Universal (medical benefits) and employer-liability (cash benefits) system,January 2019,111271112329.98
Fiji,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,4592118709.55
Finland,Social insurance system,January 2018,299155237589.14
France,Social insurance system,January 2018,2937472757953.44
Gabon,"Social insurance (cash maternity and medical benefits), employer-liability (cash sickness benefit), and social assistance (cash maternity and medical benefits) system",January 2019,18269350433.8
Gambia,Employer-liability system (cash sickness and maternity benefits),January 2019,2078070683.55
Georgia,"Social insurance (cash maternity benefit), employer-liability (cash sickness benefit), and social assistance (medical benefits) system",July 2018,18700241392.16
Germany,Social insurance system,January 2018,4223116205968.92
Ghana,Social insurance (medical benefits) and employer-liability (cash maternity benefit) system. Cash maternity and medical benefits only,January 2019,77594279054.88
Greece,Social insurance system,January 2018,216240589485.26
Grenada,Social insurance and employer-liability system. Cash benefits only,July 2019,1122083185.19
Guatemala,Social insurance system,July 2019,85986321551.24
Guinea,"Social insurance (cash sickness, maternity, and medical benefits) and employer-liability system (cash maternity and medical benefits)",January 2019,15850520383.99
Guinea-Bissau,Social insurance (cash sickness and medical benefits) and employer-liability (cash maternity benefit) system,January 2019,1638517533.17
Guyana,Universal (medical benefits) and social insurance system,July 2019,7409179920.86
Haiti,Social insurance system. Cash benefits only,July 2019,20944392615.08
Honduras,Social insurance (cash and medical benefits) and employer-liability (cash benefits) system,July 2019,28488668301.64
Hong Kong (China),Employer-liability (cash benefits) and social assistance (cash and medical benefits) system,July 2018,368139247671.49
Hungary,Social insurance system,January 2018,182280517581.21
Iceland,"Universal (medical benefits and cash parental grants), social insurance (cash parental benefits), and employment-related (cash sickness benefits) system",January 2018,25458933915.87
India,Social insurance and social assistance system,July 2018,3173397590816.91
Indonesia,"Social insurance (medical benefits), employer-liability (cash benefits), and social assistance (medical benefits) system",July 2018,1186092991320.04
Iran,Social insurance (cash and medical benefits) and social assistance (medical benefits only) system,July 2018,231547571240.47
Ireland,Universal (medical benefits) and social insurance (cash benefits) system,January 2018,498559576714.72
Isle of Man,"Universal (medical benefits), social insurance, and social assistance system",January 2018,7315388052.08
Israel,Social insurance system,July 2018,481591266133.41
Italy,"Universal (medical benefits and pregnancy grant), social insurance (cash benefits), employment-related (tuberculosis benefits), employer-liability (paternity leave), and social assistance (birth grant) system",January 2018,2099880198258.88
Jamaica,"Universal (medical benefits), social insurance (cash maternity and medical benefits), and employer-liability (cash benefits) system",July 2019,13638230995.68
Japan,Social insurance system,July 2018,4937421880461.55
Jersey,Social insurance (cash benefits) and universal (medical benefits) system,January 2018,
Jordan,Social insurance and employer-liability (cash sickness benefits) system,July 2018,45243661971.83
Kazakhstan,"Universal (medical benefits and birth grant), social insurance (cash maternity and child care benefits), and employer-liability (cash sickness benefit) system",July 2018,190814274226.21
Kenya,Social insurance (medical benefits) and employer-liability (cash benefits) system,January 2019,110347079517.36
Kiribati,Universal (medical benefits) and employer-liability (cash maternity benefits) system,July 2018,180911843.64
Kuwait,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,105960225688.15
Kyrgyz Republic,"Universal (medical benefits), social insurance (cash benefits), and social assistance (maternity benefits) system",July 2018,8543423502.61
Lao People's Democratic Republic,Social insurance system,July 2018,18827148530.02
Latvia,Social insurance system,January 2018,38872546228.57
Lebanon,Social insurance system. Medical benefits only,July 2018,18076624840.18
Lesotho,Universal (medical benefits) and employer-liability (cash benefits) system,January 2019,2518468891.04
Liberia,Employer-liability system. Cash sickness and maternity benefits only,January 2019,3486741370.0
Libya,Social insurance (cash and medical benefits) and employer-liability (cash maternity benefit) system,January 2019,41879579677.17
Liechtenstein,Social insurance (cash benefits) and universal (medical benefits) system,January 2018,6427248943.45
Lithuania,Social insurance system,January 2018,65503849704.6
Luxembourg,Social insurance and employer-liability system,January 2018,86710803337.1
Madagascar,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness) system,January 2019,14637400395.69
Malawi,Employer-liability (cash sickness and maternity benefits) system. Cash benefits only,January 2019,12626718073.74
Malaysia,Provident fund (medical benefits only) and employer-liability (cash benefits) system,July 2018,372701358820.26
Mali,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness benefit) system,January 2019,19143741503.15
Malta,"Universal (cash maternity and medical), social insurance (cash sickness), and employer-liability (cash maternity) system",January 2018,17189730469.56
Marshall Islands,Social insurance (medical benefits only) system,July 2018,248665600.0
Mauritania,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness and medical benefits) system,January 2019,8227580740.5
Mauritius,Employer-liability system. Cash benefits only,January 2019,11156657769.7
Mexico,Social insurance and social assistance (medical benefits only) system,July 2019,1293037866360.17
Micronesia,Social insurance system,July 2018,404178049.75
Moldova,Social insurance (cash and medical benefits) and social assistance (medical benefits only) system,January 2018,13679221333.21
Monaco,Social insurance system,January 2018,6816219303.26
Morocco,"Social insurance (cash and medical benefits), employer-liability (parental leave), and social assistance (medical benefits) system",January 2019,132725261467.43
Mozambique,"Universal (medical benefits), social insurance (cash benefits), and social assistance (medical benefits) system",January 2019,16095828896.63
Myanmar,Social insurance system,July 2018,65067808984.68
Namibia,Social insurance and employer-liability system,January 2019,12236250784.13
Nepal,"Universal (medical benefits), provident fund (birth grant and medical benefits), and employer-liability (cash and medical benefits)",July 2018,36288830373.41
Netherlands,Social insurance system,January 2018,1018007056949.6
New Zealand,Universal and social assistance system,July 2018,249991512236.53
Nicaragua,Social insurance (cash and medical benefits) and social assistance (medical benefits) system,July 2019,14013022092.06
Niger,"Universal (medical benefits), social insurance (cash maternity and medical benefits), and employer-liability (cash sickness benefits) system",January 2019,14950949875.27
Nigeria,Social insurance system,January 2019,440776971536.02
North Macedonia,"Mandatory private pension scheme, Voluntary pension scheme, Open pension funds",December 2020,13879269151.57
Norway,Universal and social insurance system,January 2018,482437019790.45
Oman,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,85868626527.96
Pakistan,Social insurance system,July 2018,346343170486.07
Palau,Social insurance and mandatory individual account system (medical benefits only),July 2018,257700000.0
Panama,Social insurance system,July 2019,63605065800.0
Papua New Guinea,Employer-liability system. Cash sickness benefits only,July 2018,26594277245.78
Paraguay,Social insurance (cash and medical benefits) and social assistance (medical benefits) system,July 2019,38986810989.0
Peru,"Social insurance (cash and medical benefits), mandatory private insurance (medical benefits), and social assistance (medical benefits and funeral grant) system",July 2019,223249497500.39
Philippines,Social insurance system,July 2018,394086419343.06
Poland,Social insurance system,January 2018,674048266397.37
Portugal,"Universal (medical benefits), social insurance (cash benefits), and social assistance (cash benefits) system",January 2018,249886464354.75
Qatar,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,179570783550.55
Romania,Social insurance (cash and medical benefits) and social assistance (medical benefits only) system,January 2018,284087563695.8
Russian Federation,Social insurance system,January 2018,1775799919352.98
Rwanda,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness and maternity benefits) system,January 2019,11070356519.48
Saint Kitts and Nevis,Social insurance system. Cash benefits only,July 2019,976150666.67
Saint Lucia,Social insurance system,July 2019,1764901133.33
Saint Vincent and the Grenadines,Universal (medical benefits) and social insurance (cash benefits) system,July 2019,889775243.38
Samoa,Employer-liability (cash benefits only) system,July 2018,788389971.6
San Marino,Universal (medical benefits) and social insurance (cash benefits) system,January 2018,1544713784.68
Sao Tome and Principe,Social insurance system,January 2019,547092915.04
Saudi Arabia,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,833541236569.32
Senegal,"Social insurance (cash maternity and maternity medical benefits), voluntary community-based social insurance (medical benefits), and social assistance (medical benefits) system",January 2019,27625388352.17
Serbia,Social insurance system,January 2018,63068134601.13
Seychelles,Universal and employer-liability system,January 2019,1320053793.04
Sierra Leone,Employer-liability system through private carriers,January 2019,4200380124.33
Singapore,"Social insurance (medical benefits), provident fund (medical benefits), employer-liability (cash sickness and maternity benefits), employment-related (cash maternity benefit), and social assistance (medical benefits) system",July 2018,396986899888.35
Slovakia,Universal (medical benefits) and social insurance (cash benefits) system,January 2018,
Slovenia,Social insurance system,January 2018,61526331889.5
Solomon Islands,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,1645213881.62
South Africa,"Universal (medical benefits), social insurance (cash benefits), employer-liability (cash sickness benefits), and social assistance (medical benefits) system",January 2019,419946428126.01
South Korea,"Social insurance and social assistance system. Maternity, medical, and long-term care benefits only",July 2018,1798533915091.14
Spain,Social insurance system,January 2018,1425276586282.92
Sri Lanka,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,84518830392.62
Sudan,Social insurance (medical benefits) and employer-liability (cash benefits) system,January 2019,34326058557.44
Suriname, Mandatory health insurance through private carriers (medical benefits) and employer-liability (cash sickness benefits) system,July 2019,2862131979.7
Sweden,Universal (parental and medical benefits) and social insurance (cash benefits) system,January 2018,627437898887.29
Switzerland,"Social insurance (cash maternity benefits and medical benefits), and employer-liability (cash sickness benefits) system",January 2018,812866928867.47
Syrian Arab Republic,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,
Taiwan (China),Social insurance system,July 2018,
Tajikistan,Universal (medical benefits) and social insurance (cash benefits) system,July 2018,8746270636.4
Tanzania,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness and paternity benefits) system,January 2019,67775101794.35
Thailand,Universal and social insurance system,July 2018,505981655622.31
Togo,"Universal (medical benefits), social insurance (cash maternity benefit), and employer-liability (cash sickness and medical benefits)  system",January 2019,8413200567.62
Trinidad and Tobago,"Universal (medical benefits), social insurance, and employer-liability system",July 2019,21391802311.01
Tunisia,Social insurance (cash and medical benefits) and social assistance (medical benefits) system,January 2019,46840042941.49
Türkiye,Social insurance system (cash benefits) and universal (medical benefits),January 2018,815271751724.42
Turkmenistan,Universal (medical benefits) and social insurance (cash benefits) system,July 2018,45231428571.43
Uganda,Employer-liability system,January 2019,40434701516.95
Ukraine,"Universal (medical benefits), social insurance (cash benefits), and social assistance (parental leave) system",January 2018,200085537744.35
United Kingdom,"Universal (medical benefits), social insurance, and social assistance (cash benefits) system",January 2018,3186859739185.02
United States of America,"Social insurance, mandatory private insurance, and social assistance system. Medical benefits only",July 2019,22996100000000.0
Uruguay,"Social insurance (cash sickness and medical benefits), employment-related (parental benefits), employer-liability (paternity benefit), and social assistance (medical benefits) system",July 2019,59319547636.09
Uzbekistan,Universal (medical benefits) and social insurance (cash benefits) system,July 2018,69238903106.17
Vanuatu,Employer-liability system,July 2018,983469256.85
Venezuela,Universal (birth grant and medical benefits) and social insurance (cash and medical benefits) system,July 2019,
Vietnam,Social insurance system,July 2018,362637524070.97
Yemen,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,21061691629.54
Zambia,Universal (medical benefits) and employer-liability (cash benefits) system,January 2019,21203059080.35
Zimbabwe,Employer-liability system. Cash sickness and maternity benefits only,January 2019,26217726717.34
