country,system_type,profile_data_date
Panama,"Social insurance, mandatory individual account, and social assistance system",July 2019
Papua New Guinea, Mandatory occupational retirement system,July 2018
Paraguay,Social insurance and social assistance system,July 2019
Peru,"Social insurance, mandatory individual account, and social assistance system",July 2019
Philippines,Social insurance and social assistance system,July 2018
Poland,"Social insurance, notional defined contribution (NDC), and individual account systems (old-age benefits); social insurance system (disability and survivor benefits) and social assistance",January 2018
Portugal,Social insurance and social assistance system,January 2018
Qatar,Social insurance system. ,July 2018
Romania,Social insurance and individual accounts system,January 2018
Russian Federation,"Social insurance, and social assistance system",January 2018
Rwanda,Social insurance system,January 2019
Saint Kitts and Nevis,Social insurance and social assistance system,July 2019
Saint Lucia,Social insurance system,July 2019
Saint Vincent and the Grenadines,Social insurance and social assistance system,July 2019
Samoa,Universal and provident fund system,July 2018
San Marino,Social insurance and mandatory individual account system,January 2018
Sao Tome and Principe,Social insurance system,January 2019
Saudi Arabia,Social insurance system,July 2018
Senegal,Social insurance system,January 2019
Serbia,Social insurance system,January 2018
Seychelles,Universal and social insurance system,January 2019
Sierra Leone,Social insurance system,January 2019
Singapore, Provident fund and social assistance system,July 2018
Slovakia,"Universal (funeral grant), social insurance, and individual account system",January 2018
Slovenia,Social insurance and social assistance system,January 2018
Solomon Islands, Provident fund system,July 2018
South Africa,Social insurance and social assistance system,January 2019
Spain,Social insurance and social assistance system,January 2018
Sri Lanka, Provident fund and trust fund system,July 2018
Sudan,Social insurance system,January 2019
Suriname,Universal and social insurance system,July 2019
Sweden,"Universal, social insurance, notional defined contribution (NDC), and mandatory individual account system",January 2018
Switzerland,Social insurance and mandatory occupational pension system,January 2018
Syrian Arab Republic,Social insurance system,July 2018
"Taiwan, China","Social insurance, mandatory individual account, and social assistance system",July 2018
Tajikistan,"Notional defined contribution (NDC), mandatory individual account, and social assistance system",July 2018
Tanzania,Social insurance system,January 2019
Thailand,"Social insurance, provident fund, and social assistance system",July 2018
Togo,Social insurance system,January 2019
Trinidad and Tobago,Social insurance and social assistance system,July 2019
Tunisia,Social insurance system,January 2019
Turkmenistan,Notional defined contribution (NDC) and social assistance system,July 2018
Türkiye,Social insurance system,January 2018
Uganda, Provident fund system,January 2019
Ukraine,Social insurance and social assistance system,January 2018
United Kingdom,Social insurance and social assistance system,January 2018
United States of America,Social insurance and social assistance system,July 2019
Uruguay,"Social insurance, mandatory individual account, and social assistance system",July 2019
Uzbekistan,"Social insurance, mandatory individual account, and social assistance system",July 2018
Vanuatu, Provident fund system,July 2018
Venezuela,Social insurance and social assistance system,July 2019
Viet Nam,Social insurance and social assistance system,July 2018
Yemen,Social insurance system,July 2018
Zambia,Social insurance system,January 2019
Zimbabwe,Social insurance system,January 2019
