country,system_type,profile_data_date
Nepal,"['Universal medical benefits','Provident fund (birth grant and medical benefits)','Employer-liability (cash and medical benefits)']",July 2018
Netherlands,['Social insurance system'],January 2018
New Zealand,['Universal and social assistance system'],July 2018
Nicaragua,"['Social insurance (cash and medical benefits)','Social assistance (medical benefits)']",July 2019
Niger,"['Universal medical benefits','Social insurance (cash maternity and medical benefits)','Employer-liability (cash sickness benefit)']",January 2019
Nigeria,['Social insurance system'],January 2019
North Macedonia,"['Mandatory private pension scheme','Voluntary pension scheme','Open pension funds']",December 2020
Norway,['Universal and Social insurance system'],January 2018
Oman,"['Universal medical benefits','Employer-liability (cash benefits)']",July 2018
Pakistan,['Social insurance system'],July 2018
Palau,['Social insurance and mandatory individual account system (medical benefits)'],July 2018
Panama,['Social insurance system'],July 2019
Papua New Guinea,['Employer-liability (cash sickness benefits)'],July 2018
Paraguay,"['Social insurance (cash and medical benefits)','Social assistance (medical benefits)']",July 2019
Peru,"['Social insurance (cash and medical benefits)','Mandatory private insurance (medical benefits)','Social assistance (medical benefits and funeral grant)']",July 2019
Philippines,['Social insurance system'],July 2018
Poland,['Social insurance system'],January 2018
Portugal,"['Universal medical benefits','Social insurance (cash benefits)','Social assistance (cash benefits)']",January 2018
Qatar,"['Universal medical benefits','Employer-liability (cash benefits)']",July 2018
Romania,"['Social insurance (cash and medical benefits)','Social assistance (medical benefits)']",January 2018
Russian Federation,['Social insurance system'],January 2018
Rwanda,"['Social insurance (cash maternity and medical benefits)','Employer-liability (cash sickness and maternity benefits)']",January 2019
Saint Lucia,['Social insurance system'],July 2019
Saint Vincent and the Grenadines,"['Universal medical benefits','Social insurance (cash benefits)']",July 2019
Samoa,['Employer-liability (cash benefits)'],July 2018
San Marino,"['Universal medical benefits','Social insurance (cash benefits)']",January 2018
Sao Tome and Principe,['Social insurance system'],January 2019
Saudi Arabia,"['Universal medical benefits','Employer-liability (cash benefits)']",July 2018
Senegal,"['Social insurance (cash maternity and maternity medical benefits)','Voluntary community-based social insurance (medical benefits)','Social assistance (medical benefits)']",January 2019
Serbia,['Social insurance system'],January 2018
Seychelles,['Universal and Employer-liability system'],January 2019
Sierra Leone,['Employer-liability system through private carriers'],January 2019
Singapore,"['Social insurance (medical benefits)','Provident fund (medical benefits)','Employer-liability (cash sickness and maternity benefits)','Employment-related (cash maternity benefit)','Social assistance (medical benefits)']",July 2018
Slovakia,"['Universal medical benefits','Social insurance (cash benefits)']",January 2018
Slovenia,['Social insurance system'],January 2018
Solomon Islands,"['Universal medical benefits','Employer-liability (cash benefits)']",July 2018
South Africa,"['Universal medical benefits','Social insurance (cash benefits)','Employer-liability (cash sickness benefits)','Social assistance (medical benefits)']",January 2019
South Korea,"['Social insurance and social assistance system (Maternity, medical, and long-term care benefits)']",July 2018
Spain,['Social insurance system'],January 2018
Sri Lanka,"['Universal medical benefits','Employer-liability (cash benefits)']",July 2018
Sudan,"['Social insurance (medical benefits)','Employer-liability (cash benefits)']",January 2019
Suriname,"['Mandatory health insurance through private carriers (medical benefits)','Employer-liability (cash sickness benefit)']",July 2019
Sweden,"['Universal (parental and medical benefits)','Social insurance (cash benefits)']",January 2018
Switzerland,"['Social insurance (cash maternity benefits and medical benefits)','Employer-liability (cash sickness benefit)']",January 2018
Syrian Arab Republic,"['Universal medical benefits','Employer-liability (cash benefits)']",July 2018
Taiwan (China),['Social insurance system'],July 2018
Tajikistan,"['Universal medical benefits','Social insurance (cash benefits)']",July 2018
Tanzania,"['Social insurance (cash maternity and medical benefits)','Employer-liability (cash sickness and paternity benefits)']",January 2019
Thailand,['Universal and Social insurance system'],July 2018
Togo,"['Universal medical benefits','Social insurance (cash maternity benefit)','Employer-liability (cash sickness and medical benefits)']",January 2019
Trinidad and Tobago,"['Universal medical benefits','Social insurance','Employer-liability system']",July 2019
Tunisia,"['Social insurance (cash and medical benefits)','Social assistance (medical benefits)']",January 2019
Türkiye,"['Social insurance system' (cash benefits)','Universal medical benefits']",January 2018
Turkmenistan,"['Universal medical benefits','Social insurance (cash benefits)']",July 2018
Uganda,['Employer-liability system'],January 2019
Ukraine,"['Universal medical benefits','Social insurance (cash benefits)','Social assistance (parental leave)']",January 2018
United Kingdom,"['Universal medical benefits','Social insurance','Social assistance (cash benefits)']",January 2018
United States of America,"['Social insurance','Mandatory private insurance','Social assistance (medical benefits)']",July 2019
Uruguay,"['Social insurance (cash sickness and medical benefits)','Employment-related (parental benefits)','Employer-liability (paternity benefit)','Social assistance (medical benefits)']",July 2019
Uzbekistan,"['Universal medical benefits','Social insurance (cash benefits)']",July 2018
Vanuatu,['Employer-liability system'],July 2018
Venezuela,"['Universal (birth grant and medical benefits)','Social insurance (cash and medical benefits)']",July 2019
Vietnam,['Social insurance system'],July 2018
Yemen,"['Universal medical benefits','Employer-liability (cash benefits)']",July 2018
Zambia,"['Universal medical benefits','Employer-liability (cash benefits)']",January 2019
Zimbabwe,['Employer-liability system (cash sickness and maternity benefits)'],January 2019
