country,profile_url
Tajikistan,https://ww1.issa.int/node/195543?country=986
Tanzania,https://ww1.issa.int/node/195543?country=987
Thailand,https://ww1.issa.int/node/195543?country=988
Togo,https://ww1.issa.int/node/195543?country=990
Trinidad and Tobago,https://ww1.issa.int/node/195543?country=992
Tunisia,https://ww1.issa.int/node/195543?country=993
Türkiye,https://ww1.issa.int/node/195543?country=994
Turkmenistan,https://ww1.issa.int/node/195543?country=995
Uganda,https://ww1.issa.int/node/195543?country=998
Ukraine,https://ww1.issa.int/node/195543?country=999
United Kingdom,https://ww1.issa.int/node/195543?country=1001
United States of America,https://ww1.issa.int/node/195543?country=1002
Uruguay,https://ww1.issa.int/node/195543?country=1004
Uzbekistan,https://ww1.issa.int/node/195543?country=1005
Vanuatu,https://ww1.issa.int/node/195543?country=1006
Venezuela,https://ww1.issa.int/node/195543?country=1007
Vietnam,https://ww1.issa.int/node/195543?country=1008
Yemen,https://ww1.issa.int/node/195543?country=1009
Zambia,https://ww1.issa.int/node/195543?country=1010
Zimbabwe,https://ww1.issa.int/node/195543?country=1012
