country,sss_depth,system_type,GDP per capita,Life Expectancy,Population (M),govt_he,private_he,Alcohol consumption,Tobacco Consumption,daily plant protein (g),daily animal protein (g),Daily caloric supply
Niger,3,"['Universal medical benefits','Social insurance (cash maternity and medical benefits)','Employer-liability (cash sickness benefit)']",590.63,63.29,26.1,25.87,35.56,0.67,7.6,66.21,14.73,2601
Nigeria,1,['Social insurance system'],2065.75,62.62,216.7,25.88,115.73,10.84,3.9,53.91,9.85,2572
Norway,1,['Universal and Social insurance system'],89154.28,82.62,5.5,6193.97,1023.42,7.41,17.1,44.91,65.99,3371
Oman,2,"['Universal medical benefits','Employer-liability (cash benefits)']",19509.47,73.9,5.3,1003.43,157.35,0.78,7.9,42.56,45.69,2940
Pakistan,1,['Social insurance system'],1505.01,65.61,229.5,52.95,100.85,0.34,20.8,38.23,27.26,2486
Panama,1,['Social insurance system'],14617.6,79.29,4.4,1646.86,841.78,7.98,5.3,37.79,41.65,2851
Paraguay,2,"['Social insurance (cash and medical benefits)','Social assistance (medical benefits)']",5891.5,75.81,7.3,437.06,512.99,7.58,12.1,36.54,34.18,2768
Peru,3,"['Social insurance (cash and medical benefits)','Mandatory private insurance (medical benefits)','Social assistance (medical benefits and funeral grant)']",6621.57,79.9,33.7,447.55,262.68,6.38,8.7,47.88,27.04,2775
Philippines,1,['Social insurance system'],3460.53,70.43,112.5,153.96,223.7,6.86,23.4,35.08,24.85,2662
Poland,1,['Social insurance system'],17999.91,78.27,37.7,1575.14,630.18,11.71,24.7,48.2,53.27,3537
Portugal,3,"['Universal medical benefits','Social insurance (cash benefits)','Social assistance (cash benefits)']",24567.51,81.57,10.1,2142.55,1372.73,12.03,25.3,43.6,67.28,3480
Romania,2,"['Social insurance (cash and medical benefits)','Social assistance (medical benefits)']",14858.23,75.57,19,1527.93,378.68,11.74,28.4,55.81,47.21,3581
Russian Federation,1,['Social insurance system'],12194.78,73.23,145.8,1042.05,661.99,11.19,27.1,46.66,56.18,3345
Rwanda,2,"['Social insurance (cash maternity and medical benefits)','Employer-liability (cash sickness and maternity benefits)']",822.35,69.1,13.6,58.22,38.28,8.95,14.1,51.22,5.59,2188
Samoa,1,['Employer-liability (cash benefits)'],3857.32,70.45,0.2,314.68,46.88,2.66,25.9,31.87,53.66,3030
Sao Tome and Principe,1,['Social insurance system'],2360.54,70.42,0.2,107.27,43.59,5.88,5.8,37.18,15.9,2446
Saudi Arabia,2,"['Universal medical benefits','Employer-liability (cash benefits)']",23185.87,74.31,35.8,1929.67,859.89,0.19,14.2,51.7,39.93,3307
Senegal,3,"['Social insurance (cash maternity and maternity medical benefits)','Voluntary community-based social insurance (medical benefits)','Social assistance (medical benefits)']",1636.89,68.58,17.7,36.25,82.58,0.76,7.1,43.24,15.25,2545
Serbia,1,['Social insurance system'],9230.18,75.87,8.7,983.85,674.54,8.75,40.1,42.29,39.93,2828
Sierra Leone,1,['Employer-liability system through private carriers'],480.04,60.77,8.3,21.99,87.94,5.7,14.3,41.26,14.87,2369
Slovenia,1,['Social insurance system'],29291.4,81.31,2.1,2626.33,1002.68,11.9,22.3,44.38,51.81,3191
Solomon Islands,2,"['Universal medical benefits','Employer-liability (cash benefits)']",2304.84,65.25,0.7,97.98,4.51,1.83,36.8,38.89,17.47,2415
South Africa,4,"['Universal medical benefits','Social insurance (cash benefits)','Employer-liability (cash sickness benefits)','Social assistance (medical benefits)']",7055.04,65.25,60.8,697.67,476.55,9.52,20.4,48.95,36.38,2899
South Korea,2,"['Social insurance and social assistance system (Maternity, medical, and long-term care benefits)']",34997.78,83.3,51.3,2096.19,1425.13,9.7,21.4,50.07,46.13,3420
Spain,1,['Social insurance system'],30103.51,83.22,46.7,2813.43,1170.5,12.72,28.1,39.73,65.15,3322
Sri Lanka,2,"['Universal medical benefits','Employer-liability (cash benefits)']",4013.69,76.87,21.6,268.96,292.86,4.1,22.3,43.4,16.31,2737
Sweden,2,"['Universal (parental and medical benefits)','Social insurance (cash benefits)']",61028.74,82.4,10.2,5282.08,940.58,8.93,24.8,36.89,70.83,3184
Switzerland,2,"['Social insurance (cash maternity benefits and medical benefits)','Employer-liability (cash sickness benefit)']",91991.6,83.45,8.8,2739.74,5792.76,11.53,25.7,33.31,59.77,3354
Tanzania,2,"['Social insurance (cash maternity and medical benefits)','Employer-liability (cash sickness and paternity benefits)']",1099.29,67.34,63.3,40.62,22.82,11.27,9.2,47.6,10.2,2373
Thailand,1,['Universal and Social insurance system'],7066.19,77.7,70.1,524.05,206.43,8.3,22.5,36.03,24.85,2804
Togo,3,"['Universal medical benefits','Social insurance (cash maternity benefit)','Employer-liability (cash sickness and medical benefits)']",973.21,64.27,8.7,18.93,95.18,2.46,7.1,50.75,9.04,2443
Tunisia,2,"['Social insurance (cash and medical benefits)','Social assistance (medical benefits)']",3807.14,77.04,12,450.88,335.33,2.12,25,70.22,28.37,3450
Turkmenistan,2,"['Universal medical benefits','Social insurance (cash benefits)']",7344.65,69.75,6.2,191.41,871.37,4.93,5.8,52.54,37.95,2830
Uganda,1,['Employer-liability system'],883.89,66.69,48.4,13.96,39.6,15.09,8.9,40.29,12.39,1981
Ukraine,3,"['Universal medical benefits','Social insurance (cash benefits)','Social assistance (parental leave)']",4835.57,73.02,43.2,406.32,494.67,8.32,26.2,45.47,43.15,3102
United Kingdom,3,"['Universal medical benefits','Social insurance','Social assistance (cash benefits)']",46510.28,81.4,68.5,4042.84,1043.78,11.45,16.1,44.93,58.28,3344
United States of America,3,"['Social insurance','Mandatory private insurance','Social assistance (medical benefits)']",70248.63,78.5,334.8,5552.6,5368.41,9.87,23.4,39.82,69.78,3782
Uruguay,4,"['Social insurance (cash sickness and medical benefits)','Employment-related (parental benefits)','Employer-liability (paternity benefit)','Social assistance (medical benefits)']",17313.19,77.1,3.5,1538.37,771.47,6.92,22,38.44,54,3202
Uzbekistan,2,"['Universal medical benefits','Social insurance (cash benefits)']",1983.06,73.01,34.4,173.84,243.95,2.59,17.8,54.24,29.19,3011
Vietnam,1,['Social insurance system'],3756.49,73.74,99,244.78,308.67,8.66,25,50.56,31.05,3025
Yemen,2,"['Universal medical benefits','Employer-liability (cash benefits)']",701.71,66.63,31.2,11.2,90.25,0.05,20.5,45.06,13.88,2154
Zambia,2,"['Universal medical benefits','Employer-liability (cash benefits)']",1137.34,62.45,19.5,77.16,31.21,6.54,14.6,45.99,9.23,2002
Zimbabwe,1,['Employer-liability system (cash sickness and maternity benefits)'],1773.92,60.68,15.3,36.75,110.07,4.67,12.1,36.59,11.76,1908
